Symbol,Open,High,Low,Last,Chg,%Chg,"Vol(""00)"
FA40 ,11215.20 ,11218.39 ,11143.97 ,11163.87 ,-35.36,-0.32,"614,819 "
FBM70 ,14421.28 ,14641.63 ,14421.28 ,14617.54 ,235.03,1.61,"4,769,172 "
FBMACE ,4681.51 ,4721.92 ,4655.27 ,4715.19 ,22.34,0.47,"3,786,928 "
FBMAPMYR ,17802.17 ,17871.93 ,17695.54 ,17730.78 ,-71.48,-0.40,"561,724 "
FBMAPUSD ,12396.70 ,12436.25 ,12313.51 ,12349.98 ,-49.79,-0.40,"561,724 "
FBMEMAS ,11514.25 ,11591.17 ,11514.25 ,11557.38 ,60.15,0.52,"13,364,654 "
FBMFLG ,15506.51 ,15769.31 ,15506.51 ,15769.31 ,272.65,1.73,"7,497,982 "
FBMHIJRAH ,13041.85 ,13116.77 ,13012.68 ,13021.95 ,-14.42,-0.11,"4,669,270 "
FBMKLCI ,1622.56 ,1630.91 ,1621.16 ,1622.06 ,-0.01,0.00,"47,737,575 "
FBMPALMOIL ,13021.63 ,13265.72 ,13014.22 ,13137.70 ,116.07,0.88,"455,025 "
FBMSCAP ,13338.99 ,13648.03 ,13338.99 ,13648.03 ,404.95,2.97,"5,649,996 "
FBMSHA ,11710.68 ,11801.23 ,11710.68 ,11749.89 ,59.87,0.51,"11,920,918 "
FBMT100 ,11334.80 ,11410.67 ,11334.80 ,11369.10 ,44.22,0.39,"7,714,658 "
CONSTRUCTION ,206.83 ,219.93 ,206.83 ,219.20 ,16.52,7.54,"7,388,108 "
CONSUMER PRODUCTS & SERVICES ,680.63 ,682.58 ,679.62 ,680.36 ,-0.44,-0.06,"1,265,113 "
FINANCIAL SERVICES ,16761.18 ,16866.00 ,16761.18 ,16811.54 ,66.28,0.39,"488,200 "
INDUSTRIAL PRODUCTS & SERVICES ,168.40 ,169.13 ,168.40 ,168.99 ,0.69,0.41,"4,091,729 "
PLANTATION,7230.94 ,7249.75 ,7205.81 ,7208.55 ,-20.36,-0.28,"458,945 "
PROPERTY ,921.54 ,942.42 ,921.54 ,942.42 ,26.57,2.82,"1,599,054 "
TECHNOLOGY,34.60 ,35.32 ,34.58 ,35.22 ,0.70,1.99,"403,697 "
